skill_id,skill_name,normalized_name,skill_category,skill_type
SK_00229,Infrastructure as Code,infrastructure as code,DevOps,technical
SK_00230,Interaction Design,interaction design,UI/UX,technical
SK_00231,Interrupt Handling,interrupt handling,Embedded Systems,technical
SK_00232,Intrusion Detection Systems,intrusion detection systems,Cybersecurity,technical
SK_00233,Inventory Management,inventory management,Database Management,technical
SK_00234,IOS Development,ios development,Mobile Development,technical
SK_00235,IoT,iot,Mobile Development,technical
SK_00236,IoT Protocols,iot protocols,IoT,technical
SK_00237,IPSec,ipsec,Cybersecurity,technical
SK_00238,Istio,istio,DevOps,technical
SK_00239,Java,java,Mobile Development,technical
SK_00240,JavaScript,javascript,Software Engineering,technical
SK_00241,Jenkins,jenkins,DevOps,technical
SK_00242,Jetpack Compose,jetpack compose,Mobile Development,technical
SK_00243,Jira,jira,Management,technical
SK_00244,JSON,json,Web Development,technical
SK_00245,JUnit,junit,QA,technical
SK_00246,Jupyter Notebooks,jupyter notebooks,Analytics,technical
SK_00247,Kali Linux,kali linux,Cybersecurity,technical
SK_00248,Keras,keras,AI/ML,technical
SK_00249,Kotlin,kotlin,Mobile Development,technical
SK_00250,Kotlin Coroutines,kotlin coroutines,Mobile Development,technical
SK_00251,Kubeflow,kubeflow,MLOps,technical
SK_00252,Kubernetes,kubernetes,Cloud,technical
SK_00253,Kustomize,kustomize,DevOps,technical
SK_00254,LangChain,langchain,Generative AI,technical
SK_00255,Large Language Models,large language models,Generative AI,technical
SK_00256,Leadership,leadership,Leadership,transferable
SK_00257,Linux,linux,Systems,technical
SK_00258,LlamaIndex,llamaindex,Generative AI,technical
SK_00259,LLM,llm,AI/ML,technical
SK_00260,LLMs,llms,Generative AI,technical
SK_00261,Load Balancing,load balancing,Architecture,technical
SK_00262,Location Services,location services,Mobile Development,technical
SK_00263,Log Analysis,log analysis,Systems,technical
SK_00264,Machine Learning,machine learning,Cloud,technical
SK_00265,Machine Translation,machine translation,AI/ML,technical
SK_00266,Malware Analysis,malware analysis,Cybersecurity,technical
SK_00267,Manual Testing,manual testing,QA,technical
SK_00268,Maps,maps,Mobile Development,technical
SK_00269,Material Editor,material editor,Game Development,technical
SK_00270,Mathematics,mathematics,AI/ML,technical
SK_00271,Maven,maven,Backend Development,technical
SK_00272,Media Handling,media handling,Software Engineering,technical
SK_00273,Memory Allocation,memory allocation,Game Development,technical
SK_00274,Memory Management,memory management,Embedded Systems,technical
SK_00275,Message Queues,message queues,Data Engineering,technical
